doc_id,source_id,pdf_filename,sensitivity_level,content_length,has_attachment_ref
enron_00567,,enron_00567.pdf,L3,3039,0
enron_00568,,enron_00568.pdf,L4,2586,0
enron_00569,,enron_00569.pdf,L2,937,1
enron_00570,,enron_00570.pdf,L1,347,1
enron_00571,,enron_00571.pdf,L4,1438,1
enron_00572,,enron_00572.pdf,L3,599,0
enron_00573,,enron_00573.pdf,L2,2606,0
enron_00574,,enron_00574.pdf,L4,5782,1
enron_00575,,enron_00575.pdf,L3,2083,1
enron_00576,,enron_00576.pdf,L2,1738,1
enron_00577,,enron_00577.pdf,L4,2200,0
enron_00578,,enron_00578.pdf,L3,1943,0
enron_00579,,enron_00579.pdf,L1,663,0
enron_00580,,enron_00580.pdf,L1,1067,0
enron_00581,,enron_00581.pdf,L2,412,1
enron_00582,,enron_00582.pdf,L3,480,0
enron_00583,,enron_00583.pdf,L2,1637,0
enron_00584,,enron_00584.pdf,L3,1711,0
enron_00585,,enron_00585.pdf,L3,4712,1
enron_00586,,enron_00586.pdf,L2,160,1
enron_00587,,enron_00587.pdf,L1,253,0
enron_00588,,enron_00588.pdf,L3,7587,0
enron_00589,,enron_00589.pdf,L2,381,0
enron_00590,,enron_00590.pdf,L3,2011,0
enron_00591,,enron_00591.pdf,L2,1087,1
enron_00592,,enron_00592.pdf,L3,1375,1
enron_00593,,enron_00593.pdf,L3,2699,1
enron_00594,,enron_00594.pdf,L4,1206,0
enron_00595,,enron_00595.pdf,L2,792,1
enron_00596,,enron_00596.pdf,L1,936,0
enron_00597,,enron_00597.pdf,L1,398,1
enron_00598,,enron_00598.pdf,L1,82,0
enron_00599,,enron_00599.pdf,L2,1780,1
enron_00600,,enron_00600.pdf,L3,2054,0
enron_00601,,enron_00601.pdf,L3,1395,1
enron_00602,,enron_00602.pdf,L2,466,1
enron_00603,,enron_00603.pdf,L1,289,0
enron_00604,,enron_00604.pdf,L2,870,0
enron_00605,,enron_00605.pdf,L1,322,0
enron_00606,,enron_00606.pdf,L2,1112,0
enron_00607,,enron_00607.pdf,L1,581,0
enron_00608,,enron_00608.pdf,L4,1500,0
enron_00609,,enron_00609.pdf,L1,160,0
enron_00610,,enron_00610.pdf,L1,84,0
enron_00611,,enron_00611.pdf,L3,2833,0
enron_00612,,enron_00612.pdf,L1,108,0
enron_00613,,enron_00613.pdf,L3,927,0
enron_00614,,enron_00614.pdf,L2,1111,0
enron_00615,,enron_00615.pdf,L2,98,0
enron_00616,,enron_00616.pdf,L3,1669,0
enron_00617,,enron_00617.pdf,L2,1508,1
enron_00618,,enron_00618.pdf,L1,1554,0
enron_00619,,enron_00619.pdf,L1,226,0
enron_00620,,enron_00620.pdf,L3,3242,0
enron_00621,,enron_00621.pdf,L2,424,0
enron_00622,,enron_00622.pdf,L1,397,0
enron_00623,,enron_00623.pdf,L2,565,0
enron_00624,,enron_00624.pdf,L2,297,1
enron_00625,,enron_00625.pdf,L4,4201,1
enron_00626,,enron_00626.pdf,L4,1749,1
enron_00627,,enron_00627.pdf,L1,396,0
enron_00628,,enron_00628.pdf,L2,1719,1
enron_00629,,enron_00629.pdf,L1,1848,0
enron_00630,,enron_00630.pdf,L2,111,0
enron_00631,,enron_00631.pdf,L4,3658,0
enron_00632,,enron_00632.pdf,L4,2900,1
enron_00633,,enron_00633.pdf,L2,1547,0
enron_00634,,enron_00634.pdf,L1,13310,1
enron_00635,,enron_00635.pdf,L3,1717,1
enron_00636,,enron_00636.pdf,L4,1006,0
enron_00637,,enron_00637.pdf,L1,77,0
enron_00638,,enron_00638.pdf,L4,2233,1
enron_00639,,enron_00639.pdf,L3,1223,1
enron_00640,,enron_00640.pdf,L4,4430,1
enron_00641,,enron_00641.pdf,L3,1098,0
enron_00642,,enron_00642.pdf,L3,1783,1
enron_00643,,enron_00643.pdf,L2,150,1
enron_00644,,enron_00644.pdf,L1,3580,0
enron_00645,,enron_00645.pdf,L1,396,0
enron_00646,,enron_00646.pdf,L2,4763,0
enron_00647,,enron_00647.pdf,L4,209,1
enron_00648,,enron_00648.pdf,L4,2239,0
enron_00649,,enron_00649.pdf,L2,1096,1
enron_00650,,enron_00650.pdf,L3,950,1
enron_00651,,enron_00651.pdf,L4,1054,1
enron_00652,,enron_00652.pdf,L2,499,1
enron_00653,,enron_00653.pdf,L1,1474,0
enron_00654,,enron_00654.pdf,L4,4908,1
enron_00655,,enron_00655.pdf,L1,436,1
enron_00656,,enron_00656.pdf,L4,4159,1
enron_00657,,enron_00657.pdf,L4,1612,0
enron_00658,,enron_00658.pdf,L3,1652,1
enron_00659,,enron_00659.pdf,L2,2845,0
enron_00660,,enron_00660.pdf,L2,369,1
enron_00661,,enron_00661.pdf,L3,758,1
enron_00662,,enron_00662.pdf,L4,917,0
enron_00663,,enron_00663.pdf,L3,2649,0
enron_00664,,enron_00664.pdf,L4,11600,1
enron_00665,,enron_00665.pdf,L4,1073,0
enron_00666,,enron_00666.pdf,L1,291,0
enron_00667,,enron_00667.pdf,L4,4091,1
enron_00668,,enron_00668.pdf,L1,1362,0
enron_00669,,enron_00669.pdf,L2,2025,0
enron_00670,,enron_00670.pdf,L2,298,0
enron_00671,,enron_00671.pdf,L4,1934,1
enron_00672,,enron_00672.pdf,L2,635,1
enron_00673,,enron_00673.pdf,L1,235,0
enron_00674,,enron_00674.pdf,L2,151,1
enron_00675,,enron_00675.pdf,L1,228,0
enron_00676,,enron_00676.pdf,L1,2092,0
enron_00677,,enron_00677.pdf,L3,3297,0
enron_00678,,enron_00678.pdf,L1,198,1
enron_00679,,enron_00679.pdf,L3,1196,0
enron_00680,,enron_00680.pdf,L2,2163,0
enron_00681,,enron_00681.pdf,L3,4293,0
enron_00682,,enron_00682.pdf,L2,1237,0
enron_00683,,enron_00683.pdf,L1,134,0
enron_00684,,enron_00684.pdf,L1,578,1
enron_00685,,enron_00685.pdf,L1,654,0
enron_00686,,enron_00686.pdf,L3,617,0
enron_00687,,enron_00687.pdf,L2,4685,0
enron_00688,,enron_00688.pdf,L2,93,0
enron_00689,,enron_00689.pdf,L1,554,1
enron_00690,,enron_00690.pdf,L3,9464,0
enron_00691,,enron_00691.pdf,L1,284,0
enron_00692,,enron_00692.pdf,L2,384,0
enron_00693,,enron_00693.pdf,L1,385,0
enron_00694,,enron_00694.pdf,L4,4213,0
enron_00695,,enron_00695.pdf,L2,3407,1
enron_00696,,enron_00696.pdf,L3,1669,0
enron_00697,,enron_00697.pdf,L2,3452,1
enron_00698,,enron_00698.pdf,L3,2429,0
enron_00699,,enron_00699.pdf,L2,1816,0
